Dup_Group,record_id,duplicate_id,author,title,abstract,doi,year,journal,volume,number,pages,isbn,label,source
461,2679,2679,Landon M.,On similar linguistic structures in creative performance and psilocybin induced experience,"Samples of the language of creative performance, i.e. poetic texts written by W. Whitman under the influence of religious conversion experiences, and samples of the language of creative experience, reportage of prior hallucinatory experiences by volunteers under psilobycin induced arousal were subjected to linguistic analysis. These texts were also compared with others written by the same individuals during nonaroused states. It was found that during states of ergotropic arousal whether natural and giving rise to creative performance or drug induced and giving rise to creative experience, variable' individuals, i.e. those who exhibit large standard deviations on repeated perceptual behavioral tasks, will produce texts which are very similar in linguistic structure but different from texts written during nonaroused states. Specifically, during ergotropic arousal semantic orientation will be more concrete, syntactic units will be shorter and less complex, rhetorical structure will be modified, and ' standard deviations on the numerical values of the above criteria will be smaller. These differences are not present in texts obtained under the same conditions but from individuals who exhibit small standard deviations on perceptual behavioral tasks.",NA,NA,Confain. Psychiat,19,70,115-138,NA,NA,NA
473,1859,1859,Riley S.C.E. and James C. and Gregory D. and Dingle H. and Cadger M.,"Patterns of recreational drug use at dance events in Edinburgh, Scotland","Aims. To describe the patterns of drug use at dance (rave) events in terms of prevalence, frequency, type of drugs used, patterns of use, access and risk-associated behaviours. Design. Self-selecting participant-completed survey. Setting. Three dance events in Edinburgh, Scotland, UK. Participants. One hundred and twenty-two drug users (57% males, 43% females), 90% of whom were in employment or education, with an age range of 16-47, 80% between 18 and 23 years. Measurements. Participants who answered ""yes"" to the question ""Have you used drugs for dance events in the past year"" reported (i) the prevalence, types and frequency of drugs used; (ii) prevalence and contents of mixing drugs; (iii) accessing drugs; and (iv) engagement with drug-associated risk behaviours. Findings. Over 80% of the participants had used ecstasy and amphetamine, over 30% cocaine and LSD; over 10% nitrites, psilocybin and ketamine and less than 5% had used crack or tranquillizers. Participants reported regular consumption of ecstasy and amphetamine (e.g. 35% used ecstasy and 25% amphetamine on a weekly basis) often taken in combination, with the occasional use of cocaine, LSD, ketamine and psilocybin. Poly- and mixing-drug behaviours were significantly more likely than monodrug usage. Drugs were accessed through friends than from any other source. Eighty-five per cent reported mixing drugs and/or alcohol, 35% driving on drugs, 36% having a bad experience on drugs; 30% unprotected sex; and 0.9% injecting drugs. Women in the sample reported higher consumption than men. Conclusions. Dance-drug use has a characteristic pattern that has implications for health promotion and criminal policy.",http://dx.doi.org/10.1046/j.1360-0443.2001.967103513.x,2001,Addiction,96,7,1035-1047,NA,NA,NA
473,2972,444,"Riley, Sarah C. E and James, Charlotte and Gregory, Danielle and Dingle, Henry and Cadger, Mike","Patterns of recreational drug use at dance events in Edinburgh, Scotland","Examined the patterns of drug use at dance (rave) events in terms of prevalence, frequency, type of drugs used, patterns of use, access and risk-associated behaviours. 122 drug users (57% males, 43% females), 90% of whom were in employment or education, with an age range of 16-47 yrs, participated. Over 80% of the participants had used ecstasy and amphetamine, over 30% cocaine and LSD; over 10% nitrites, psilocybin and ketamine and less than 5% had used crack or tranquillizers. Participants reported regular consumption of ecstasy and amphetamine (e.g., 35% used ecstasy and 25% amphetamine on a weekly basis) often taken in combination, with the occasional use of cocaine, LSD, ketamine and psilocybin. Poly- and mixing-drug behaviours were significantly more likely than monodrug usage. Drugs were accessed through friends than from any other source. Eighty-five per cent reported mixing drugs and/or alcohol, 35% driving on drugs, 36% having a bad experience on drugs; 30% unprotected sex; and 0.9% injecting drugs. Women in the sample reported higher consumption than men. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1046/j.1360-0443.2001.967103513.x and http://dx.doi.org/10.1046/j.1360-0443.2001.967103513.x,2001,Addiction,96,7,1035-1047,NA,NA,NA
479,1432,2847,Cummins C. and Lyke J.,Peak Experiences of Psilocybin Users and Non-Users,"Maslow (1970) defined peak experiences as the most wonderful experiences of a person's life, which may include a sense of awe, well-being, or transcendence. Furthermore, recent research has suggested that psilocybin can produce experiences subjectively rated as uniquely meaningful and significant (Griffiths et al. 2006). It is therefore possible that psilocybin may facilitate or change the nature of peak experiences in users compared to non-users. This study was designed to compare the peak experiences of psilocybin users and non-users, to evaluate the frequency of peak experiences while under the influence of psilocybin, and to assess the perceived degree of alteration of consciousness during these experiences. Participants were recruited through convenience and snowball sampling from undergraduate classes and at a musical event. Participants were divided into three groups, those who reported a peak experience while under the influence of psilocybin (psilocybin peak experience: PPE), participants who had used psilocybin but reported their peak experiences did not occur while they were under the influence of psilocybin (non-psilocybin peak experience: NPPE), and participants who had never used psilocybin (non-user: NU). A total of 101 participants were asked to think about their peak experiences and complete a measure evaluating the degree of alteration of consciousness during that experience. Results indicated that 47% of psilocybin users reported their peak experience occurred while using psilocybin. In addition, there were significant differences among the three groups on all dimensions of alteration of consciousness. Future research is necessary to identify factors that influence the peak experiences of psilocybin users in naturalistic settings and contribute to the different characteristics of peak experiences of psilocybin users and non-users. Â© 2013 Copyright Taylor and Francis Group, LLC.",http://dx.doi.org/10.1080/02791072.2013.785855,2013,J. Psychoact. Drugs,45,2,189-194,NA,NA,NA
479,2847,280,"Cummins, Christina and Lyke, Jennifer",Peak experiences of psilocybin users and non-users,"Maslow (1970) defined peak experiences as the most wonderful experiences of a person's life, which may include a sense of awe, well-being, or transcendence. Furthermore, recent research has suggested that psilocybin can produce experiences subjectively rated as uniquely meaningful and significant (Griffiths et al. 2006). It is therefore possible that psilocybin may facilitate or change the nature of peak experiences in users compared to non-users. This study was designed to compare the peak experiences of psilocybin users and non-users, to evaluate the frequency of peak experiences while under the influence of psilocybin, and to assess the perceived degree of alteration of consciousness during these experiences. Participants were recruited through convenience and snowball sampling from undergraduate classes and at a musical event. Participants were divided into three groups, those who reported a peak experience while under the influence of psilocybin (psilocybin peak experience: PPE), participants who had used psilocybin but reported their peak experiences did not occur while they were under the influence of psilocybin (non-psilocybin peak experience: NPPE), and participants who had never used psilocybin (non-user: NU). A total of 101 participants were asked to think about their peak experiences and complete a measure evaluating the degree of alteration of consciousness during that experience. Results indicated that 47% of psilocybin users reported their peak experience occurred while using psilocybin. In addition, there were significant differences among the three groups on all dimensions of alteration of consciousness. Future research is necessary to identify factors that influence the peak experiences of psilocybin users in naturalistic settings and contribute to the different characteristics of peak experiences of psilocybin users and non-users. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1080/02791072.2013.785855 and http://dx.doi.org/10.1080/02791072.2013.785855,2013,Journal of Psychoactive Drugs,45,2,189-194,NA,NA,NA
482,682,682,"Fischer, R and Kappeler, T and Wisecup, P and Thatcher, K",Personality trait dependent performance under psilocybin,NA,NA,1970,Dis Nerv Syst,31,2,92-101,NA,NA,NA
482,3010,3010,"Fischer, Roland and Kappeler, Thomas and Wisecup, Philip and Thatcher, Karen",Personality trait dependent performance under psilocybin,"Describes the 1st of a 2-part report exploring the theory that hallucinations may be described as ""sensations without action"" instead of ""perceptions without an object."" A method for measuring the sensory to motor ratio (S/M) was developed by use of a handwriting task in which the area used to write a preselected 28-word passage and the pen pressure applied are determined as the primary sensory and motor variables, respectively. Also obtained were certain autonomic indicators, i.e., pupillary response. A chemically-induced mild state of hallucinations was achieved by administration of psilocybin to 16 ""predominately taste-sensitive and thus intuitive"" college-age volunteers. Pre- and post-drug base-rate data are presented for area used, pressure, and time to complete the writing task, including intercorrelations between these and additional personality measures obtained on Ss. Initial results suggest that handwriting area and average force are not interrelated, thus demonstrating their utility as an S/M indicator. In addition, drug-induced pupillary response is unrelated to drug-induced change in the sensory parameter (handwriting area), but shows a weak but significant relationship to the motor parameter (handwriting force). (30 ref.) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",NA,1970,Diseases of the Nervous System,31,2,91-101,NA,NA,NA
495,1463,1463,Jeannin J.-M.,Phyto- and mycotoxins (4): Psilocybin,NA,NA,2013,Schweiz. Z. GanzheitsMed,25,4,212-213,NA,NA,NA
495,1460,1460,Jeannin J.-M.,Phytotoxin and mycotoxin (4): Psilocybin,NA,http://dx.doi.org/10.1159/000353751,2013,Schweiz. Z. GanzheitsMed,25,4,212-213,NA,NA,NA
503,595,595,"Kuhnert-Brandstatter, M and Heindl, W",[Polymorphe forms of psilocine and psilocybine],NA,NA,1976,Archiv der Pharmazie,309,8,625-31,NA,NA,NA
503,2253,2253,Kuhnert Brandstatter M. and Heindl W.,Polymorphic forms and solvates of psilocin and psilocybine,NA,http://dx.doi.org/10.1002/ardp.19763090804,1976,ARCH. PHARM,309,8,625-631,NA,NA,NA
504,1925,482,Vollenweider F.X. and Leenders K.L. and Scharfetter C. and Maguire P. and Stadelmann O. and Angst J.,Positron emission tomography and fluorodeoxyglucose studies of metabolic hyperfrontality and psychopathology in the psilocybin model of psychosis,"The effects of the indolehallucinogen psilocybin, a mixed 5-HT2 and 5-HT1 agonist, on regional cerebral glucose metabolism were investigated in 10 healthy volunteers with PET and [F-18]-fluorodeoxyglucose (FDG) prior to and following a 15- or 20-mg dose of psilocybin. Psychotomimetic doses of psilocybin were found to produce a global increase in cerebral metabolic rate of glucose (CMRglu) with significant and most marked increases in the frontomedial and frontolateral cortex (24.3%), anterior cingulate (24.9%), and temporomedial cortex (25.3%). Somewhat smaller increases of CMRglu were found in the basal ganglia (18.5%), and the smallest increases were found in the sensorimotor (14.7%) and occipital cortex (14.4%). The increases of CMRglu in the prefrontal cortex, anterior cingulate, temporomedial cortex, and putamen correlated positively with psychotic symptom formation, in particular with hallucinatory ego disintegration. The present data suggest that excessive 5-HT2 receptor activation results in a hyperfrontal metabolic pattern that parallels comparable metabolic findings associated with acute psychotic episodes in schizophrenics and contrasts with the hypofrontality in chronic schizophrenic patients.",http://dx.doi.org/10.1016/S0893-133X%2896%2900246-1,1997,Neuropsychopharmacology,16,5,357-372,NA,NA,NA
504,2988,2988,"Vollenweider, F. X and Leenders, K. L and Scharfetter, C and Maguire, P and Stadelmann, O and Angst, J",Positron emission tomography and fluorodeoxyglucose studies of metabolic hyperfrontality and psychopathology in the psilocybin model of psychosis,"Investigated effects of 15- or 20-mg dosages of the mixed serotonin receptor agonist and indolehallucinogen psilocybin on tomographic measures of regional cerebral glucose metabolic rate (CMRglu) in 10 healthy volunteers (aged 27-45 yrs). Five Ss received psilocybin and ketamine, and 5 received psilocybin and d-amphetamine. Psychotomimetic doses of psilocybin were found to produce a global increase in CMRglu with significant increases in the frontomedial and frontolateral cortex (24.3%), anterior cingulate (24.9%), and temporomedial cortex (25.3%). Smaller increases were found in the basal ganglia (18.5%), and the smallest increases were seen in the sensorimotor (14.7%) and occipital cortex (14.4%). The increases of CMRglu in the prefrontal cortex, anterior cingulate, temporomedial cortex, and putamen correlated positively with psychotic symptom formation, particularly with hallucinatory ego disintegration. These data suggest that excessive 5-HT2 receptor activation results in a hyperfrontal metabolic pattern that parallels comparable metabolic findings associated with acute psychotic episodes in schizophrenic patients and contrasts with the hyperfrontality in chronic schizophrenic patients. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1016/S0893-133X%2896%2900246-1 and http://dx.doi.org/10.1016/S0893-133X%2896%2900246-1,1997,Neuropsychopharmacology,16,5,357-372,NA,NA,NA
512,1688,2929,Heekeren K. and Neukirch A. and Daumann J. and Stoll M. and Obradovic M. and Kovar K.-A. and Geyer M.A. and Gouzoulis-Mayfrank E.,"Prepulse inhibition of the startle reflex and its attentional modulation in the human S-ketamine and N,N-dimethyltryptamine (DMT) models of psychosis","Patients with schizophrenia exhibit diminished prepuLse inhibition (PPI) of the acoustic startLe reflex and deficits in the attentionaL moduLation of PPI. PharmacoLogicaL chaLLenges with haLLucinogens are used as modeLs for psychosis in both humans and animaLs. RemarkabLy, in contrast to the findings in schizophrenic patients and in animaL haLLucinogen modeLs of psychosis, previous studies with heaLthy voLunteers demonstrated increased LeveLs of PPI after administration of Low to moderate doses of either the antigLutamatergic haLLucinogen ketamine or the serotonergic haLLucinogen psiLocybin. The aim of the present study was to investigate the influence of moderate and high doses of the serotonergic haLLucinogen N,N-dimethyLtryptamine (DMT) and the N-methyL-D-aspartate antagonist S-ketamine on PPI and its attentionaL moduLation in humans. Fifteen heaLthy voLunteers were incLuded in a doubLe-bLind cross-over study with two doses of DMT and S-ketamine. Effects on PPI and its attentionaL moduLation were investigated. Nine subjects compLeted both experimentaL days with the two doses of both drugs. S-ketamine increased PPI in both dosages, whereas DMT had no significant effects on PPI. S-ketamine decreased and DMT tended to decrease startLe magnitude. There were no significant effects of either drug on the attentionaL moduLation of PPI. In human experimentaL haLLucinogen psychoses, and even with high, cLearLy psychotogenic doses of DMT or S-ketamine, heaLthy subjects faiLed to exhibit the predicted attenuation of PPI. In contrast, PPI was augmented and the startLe magnitude was decreased after S-ketamine. These data point to important differences between human haLLucinogen modeLs and both animaL haLLucinogen modeLs of psychosis and naturally occurring schizophrenia. Â© 2007 British Association for Psychopharmacology.",http://dx.doi.org/10.1177/0269881107077734,2007,J. Psychopharmacol,21,3,312-320,NA,NA,NA
512,2929,367,"Heekeren, K and Neukirch, A and Daumann, J and Stoll, M and Obradovic, M and Kovar, K.-A and Geyer, M. A and Gouzoulis-Mayfrank, E","Prepulse inhibition of the startle reflex and its attentional modulation in the human S-ketamine and N,N-dimethyltryptamine (DMT) models of psychosis","Patients with schizophrenia exhibit diminished prepulse inhibition (PPI) of the acoustic startle reflex and deficits in the attentional modulation of PPI. Pharmacological challenges with hallucinogens are used as models for psychosis in both humans and animals. Remarkably, in contrast to the findings in schizophrenic patients and in animal hallucinogen models of psychosis, previous studies with healthy volunteers demonstrated increased levels of PPI after administration of low to moderate doses of either the antiglutamatergic hallucinogen ketamine or the serotonergic hallucinogen psilocybin. The aim of the present study was to investigate the influence of moderate and high doses of the serotonergic hallucinogen N,N-dimethyltryptamine (DMT) and the N-methyl-D-aspartate antagonist S-ketamine on PPI and its attentional modulation in humans. Fifteen healthy volunteers were included in a double-blind cross-over study with two doses of DMT and S-ketamine. Effects on PPI and its attentional modulation were investigated. Nine subjects completed both experimental days with the two doses of both drugs. S-ketamine increased PPI in both dosages, whereas DMT had no significant effects on PPI. S-ketamine decreased and DMT tended to decrease startle magnitude. There were no significant effects of either drug on the attentional modulation of PPI. In human experimental hallucinogen psychoses, and even with high, clearly psychotogenic doses of DMT or S-ketamine, healthy subjects failed to exhibit the predicted attenuation of PPI. In contrast, PPI was augmented and the startle magnitude was decreased after S-ketamine. These data point to important differences between human hallucinogen models and both animal hallucinogen models of psychosis and naturally occurring schizophrenia. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1177/0269881107077734 and http://dx.doi.org/10.1177/0269881107077734,2007,Journal of Psychopharmacology,21,3,312-320,NA,NA,NA
516,1331,1331,Krebs T.S.,Protecting the human rights of people who use psychedelics,NA,http://dx.doi.org/10.1016/S2215-0366%2815%2900084-X,2015,Lancet Psychiatry,2,4,294-295,NA,NA,NA
516,2799,2799,"Krebs, Teri Suzanne",Protecting the human rights of people who use psychedelics,"War on the Drugs worldwide has impeded development of psychiatric treatment with psychedelics such as LSD (lysergic acid diethylamide) and psilocybin (found in magic mushrooms). Prohibition also had negative outcomes for the millions of individuals who find it worthwhile to use psychedelics in various cultural settings outside of those in the clinic. People have used psychedelics in spiritual practice for at least 5700 years, pre-dating all major organised religions. 100 years ago, members of rival religious groups campaigned against Native American use of psychedelic peyote cactus. However in the 1950s, concerned scientists used evidence and human rights arguments to defend peyote users, leading to legal exemptions for specific groups. When psychedelics spread to the wider society in the 1960s, this was also acknowledged by religious scholars and governments as a spiritual movement. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1016/S2215-0366%2815%2900084-X and http://dx.doi.org/10.1016/S2215-0366%2815%2900084-X,2015,The Lancet Psychiatry,2,4,294-295,NA,NA,NA
520,1414,2822,Wilcox J.A.,Psilocybin and obsessive compulsive disorder,"Obsessive Compulsive Disorder (OCD) is a psychiatric disorder with considerable morbidity and mortality. This condition disables many individuals and is often refractory to treatment. Research suggests that serotonin plays a role in OCD symptom reduction. We present a case of an individual who successfully used psilocybin, a serotonergic agent, to reduce the core symptoms of OCD for several years. Although not endorsing this form of treatment, we feel that the successful use of this agent highlights the role of serotonergic factors in OCD and the need for further, legitimate research into the value of psilocybin in the treatment of anxiety disorders.Copyright Â© 2014 Journal of Psychoactive Drugs. All Rights reserved.",http://dx.doi.org/10.1080/02791072.2014.963754,2014,J. Psychoact. Drugs,46,5,393-395,NA,NA,NA
520,2822,258,"Wilcox, James Allen",Psilocybin and obsessive compulsive disorder,"Obsessive Compulsive Disorder (OCD) is a psychiatric disorder with considerable morbidity and mortality. This condition disables many individuals and is often refractory to treatment. Research suggests that serotonin plays a role in OCD symptom reduction. We present a case of an individual who successfully used psilocybin, a serotonergic agent, to reduce the core symptoms of OCD for several years. Although not endorsing this form of treatment, we feel that the successful use of this agent highlights the role of serotonergic factors in OCD and the need for further, legitimate research into the value of psilocybin in the treatment of anxiety disorders. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1080/02791072.2014.963754 and http://dx.doi.org/10.1080/02791072.2014.963754,2014,Journal of Psychoactive Drugs,46,5,393-395,NA,NA,NA
521,1159,138,Shelton R.C. and Hendricks P.S.,Psilocybin and palliative end-of-life care,NA,http://dx.doi.org/10.1177/0269881116675764,2016,J. Psychopharmacol,30,12,1207-1208,NA,NA,NA
521,2767,2767,"Shelton, Richard C and Hendricks, Peter S",Psilocybin and palliative end-of-life care,"Comments on an article by Stephen Ross et al. (see record 2016-58838-002) & Roland R Griffiths et al. (see record 2016-58838-003). Papers by Griffiths et al. (2016) and Ross et al. (2016) in this journal are notable in that they suggest a rapid, clinically robust, and sustained effect of the 5HT2A agonist psilocybin on depression and anxiety among individuals with advancedstage cancer. The latter was a very small scale (N=29) crossover study comparing psilocybin treatment to the active control niacin, chosen for its ability to mimic some psilocybin side effects. Functional unblinding-the ability of participants to ascertain treatment assignment based on drug effects-is the principal limitation of the studies. Both projects attempted to deal with this problem by using active placebo controls (niacin or lowdose psilocybin) and certain study procedures. However, neither study used a direct assessment of the integrity of the blinding procedure-that is, neither directly asked participants to estimate treatment assignment. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1177/0269881116675764 and http://dx.doi.org/10.1177/0269881116675764,2016,Journal of Psychopharmacology,30,12,1207-1208,NA,NA,NA
528,1170,133,Nutt D.,Psilocybin for anxiety and depression in cancer care? Lessons from the past and prospects for the future,NA,http://dx.doi.org/10.1177/0269881116675754,2016,J. Psychopharmacol,30,12,1163-1164,NA,NA,NA
528,2773,2773,"Nutt, David",Psilocybin for anxiety and depression in cancer care? Lessons from the past and prospects for the future,"This editorial presents the current issue of Journal of Psychopharmacology. This special issue contains two landmark studies-the most rigorous controlled trials to date using the psychedelic drug psilocybin, the active ingredient of magic mushrooms. These were conducted in patients with anxiety and depression and existential distress in the context of having a diagnosis of cancer, and they showed that a single psychedelic experience could produce profound and enduring mental health benefits. The fact that everyone we approached agreed to provide a commentary, despite short notice, is a testimony to the interest that these two studies have sparked. Unfortunately, psilocybin got caught up in the backlash against LSD occasioned by the protests against the Vietnam War and the Haight-Ashbury social revolution. So when LSD was banned on the basis of some very dubious so-called research findings of harm, psilocybin and all other known psychedelic drugs became illegal too. Hopefully, the positive findings that they report will act to spur on other researchers in the field of psychopharmacology, particularly in relation to depression, anxiety and addiction-disorders of enormous personal and social costs, and with many patients who still fail to respond adequately to current treatments, as well as to patients with existential distress. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1177/0269881116675754 and http://dx.doi.org/10.1177/0269881116675754,2016,Journal of Psychopharmacology,30,12,1163-1164,NA,NA,NA
529,1280,122,McCorvy J.D. and Olsen R.H.J. and Roth B.L.,Psilocybin for depression and anxiety associated with life-threatening illnesses,NA,http://dx.doi.org/10.1177/0269881116675771,2016,J. Psychopharmacol,30,12,1209-1210,NA,NA,NA
529,2766,2766,"McCorvy, John D and Olsen, Reid H. J and Roth, Bryan L",Psilocybin for depression and anxiety associated with life-threatening illnesses,"Comments on an article by Stephen Ross et al. (see record 2016-58838-002) & Roland R Griffiths et al. (see record 2016-58838-003). Two independent studies by Griffiths et al. (2016) and Ross et al. (2016) demonstrate that psilocybin, a serotoninergic psychedelic, can produce a rapid and clinically significant decrease in the symptoms of depression and anxiety, which can persist for up to six months. Additionally, these studies utilized a crossover design, where patients receiving placebo for the first administration were given psilocybin in the second half of the study. When patients in this latter group were given psilocybin, they also exhibited marked reductions in depression and anxiety-related symptoms beyond that which may have occurred following administration of the control compounds. Nonetheless, the findings of Griffiths et al. (2016) and Ross et al. (2016)-that one-time use of psilocybin can produce clinically relevant and apparently long-lasting effects on depressive and anxious symptoms-are remarkable, and they underscore the potential for psilocybin as an alternative to first-line antidepressants. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1177/0269881116675771 and http://dx.doi.org/10.1177/0269881116675771,2016,Journal of Psychopharmacology,30,12,1209-1210,NA,NA,NA
532,1161,139,Summergrad P.,Psilocybin in end of life care: Implications for further research,NA,http://dx.doi.org/10.1177/0269881116675758,2016,J. Psychopharmacol,30,12,1203-1204,NA,NA,NA
532,2769,2769,"Summergrad, Paul",Psilocybin in end of life care: Implications for further research,"Comments on an article by Stephen Ross et al. (see record 2016-58838-002) & Roland R Griffiths et al. (see record 2016-58838-003). Ross et al. (2016) studied 29 cancer patients using a two-session, double-blind, crossover design employing psilocybin first then niacin second, or niacin first and psilocybin second. Griffiths et al. (2016) studied 51 cancer patients using a twosession, double-blind, crossover design employing high-dose psilocybin first then very low-dose (placebo-like) psilocybin second, or very low-dose (placebo-like) psilocybin first and high-dose psilocybin second. In both studies, adverse events were limited and included expected increases in blood pressure, pulse, nausea and vomiting, and transient anxiety or occasional psychotic symptoms, which remitted rapidly. The experiences of salience, meaningfulness, and healing that accompanied these powerful spiritual experiences and that were found to be mediators of clinical response in both of these carefully performed studies are also important to understand in their own right and are worthy of further study and contemplation. None of us are immune from the transitory nature of human life, which can bring fear and apprehension or conversely a real sense of meaning and preciousness if we carefully number our days. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1177/0269881116675758 and http://dx.doi.org/10.1177/0269881116675758,2016,Journal of Psychopharmacology,30,12,1203-1204,NA,NA,NA
534,944,944,NA,Psilocybin in long-term meditators: effects on default mode network functional connectivity and retrospective ratings of qualitative experience,"Aims: Descriptions of meditation experiences can bear striking similarity to descriptions of some experiences with classic (serotonergic) hallucinogens. Neuroimaging studies reveal striking overlap in the effects of psilocybin and the effects of meditation on functional connectivity of the default mode network (DMN). This ongoing study explored the effects of psilocybin on subjective experience and DMN connectivity in long-term meditators. Methods: 16 meditators (mean lifetime meditation = 4206 h) received either a placebo (n = 8) or a high dose psilocybin (n = 8) capsule before a laboratory session. Retrospective self-report measures of subjective experience and resting-state fMRI data were collected the day after the session. Seed-based functional connectivity analyses were applied to fMRI data. Self-report measures and functional connectivity of the DMN were compared between placebo and psilocybin groups. Results: Participants who received psilocybin attributed significantly greater meaning, spiritual significance, psychological challenge, and psychological insight to their session experiences than those who received placebo. 75% of participants in the psilocybin group rated the experience to be in the top 10 most meaningful experiences of their life. Participants who received psilocybin also showed lower functional connectivity between hippocampal and posterior DMN regions and greater functional connectivity among DMN regions than those who received placebo. Conclusions: Participants attributed substantial meaning to their high-dose psilocybin experience, andshowedchanges in brain function the day after a high dose of psilocybin. Further research should explore the relationship of these enduring changes in brain function to abuse liability and therapeutic outcomes with psilocybin.",NA,2017,Drug and alcohol dependence,"Conference: 2016 Annual Meeting of the College on Problems of Drug Dependence, CPDD 2016. United States. 171",pp e15-e16,"NA-NA",NA,NA,NA
534,1237,1237,Barrett F.S. and Johnson M.W. and Griffiths R.R.,Psilocybin in long-term meditators: Effects on default mode network functional connectivity and retrospective ratings of qualitative experience,"Aims: Descriptions of meditation experiences can bear striking similarity to descriptions of some experiences with classic (serotonergic) hallucinogens. Neuroimaging studies reveal striking overlap in the effects of psilocybin and the effects of meditation on functional connectivity of the default mode network (DMN). This ongoing study explored the effects of psilocybin on subjective experience and DMN connectivity in long-term meditators. Methods: 16 meditators (mean lifetime meditation = 4206 h) received either a placebo (n = 8) or a high dose psilocybin (n = 8) capsule before a laboratory session. Retrospective self-report measures of subjective experience and resting-state fMRI data were collected the day after the session. Seed-based functional connectivity analyses were applied to fMRI data. Self-report measures and functional connectivity of the DMN were compared between placebo and psilocybin groups. Results: Participants who received psilocybin attributed significantly greater meaning, spiritual significance, psychological challenge, and psychological insight to their session experiences than those who received placebo. 75% of participants in the psilocybin group rated the experience to be in the top 10 most meaningful experiences of their life. Participants who received psilocybin also showed lower functional connectivity between hippocampal and posterior DMN regions and greater functional connectivity among DMN regions than those who received placebo. Conclusions: Participants attributed substantial meaning to their high-dose psilocybin experience, andshowedchanges in brain function the day after a high dose of psilocybin. Further research should explore the relationship of these enduring changes in brain function to abuse liability and therapeutic outcomes with psilocybin.",http://dx.doi.org/10.1016/j.drugalcdep.2016.08.058,2017,Drug Alcohol Depend,171,NA,e15-e16,NA,NA,NA
535,467,467,"Vollenweider, F X and Vollenweider-Scherpenhuyzen, M F and Babler, A and Vogel, H and Hell, D",Psilocybin induces schizophrenia-like psychosis in humans via a serotonin-2 agonist action,"Psilocybin, an indoleamine hallucinogen, produces a psychosis-like syndrome in humans that resembles first episodes of schizophrenia. In healthy human volunteers, the psychotomimetic effects of psilocybin were blocked dose-dependently by the serotonin-2A antagonist ketanserin or the atypical antipsychotic risperidone, but were increased by the dopamine antagonist and typical antipsychotic haloperidol. These data are consistent with animal studies and provide the first evidence in humans that psilocybin-induced psychosis is due to serotonin-2A receptor activation, independently of dopamine stimulation. Thus, serotonin-2A overactivity may be involved in the pathophysiology of schizophrenia and serotonin-2A antagonism may contribute to therapeutic effects of antipsychotics.",NA,1998,Neuroreport,9,17,3897-902,NA,NA,NA
535,2984,2984,"Vollenweider, Franz X and Vollenweider-Scherpenhuyzen, Margreet F. I and Babler, Andreas and Vogel, Helen and Hell, Daniel",Psilocybin induces schizophrenia-like psychosis in humans via a serotonin-2 agonist action,"Explored the roles of serotonin2A (5-hydroxytryptamine2A [5-HT2A]) and/or dopamine (DA) D2 receptors in psychological effects of indoleamine hallucinogens in 2 experiments, with a total of 25 healthy volunteers. The psychotomimetic effects of psilocybin were blocked dose dependently by the 5-HT2A antagonist ketanserin or the atypical antipsychotic risperidone, but were increased by the DA antagonist and typical antipsychotic haloperidol. Psilocybin also produced spatial working memory deficits comparable to those seen in schizophrenic patients. Psilocybin-induced psychosis seems to be due to 5-HT2A receptor activation, independently of dopamine stimulation. Thus, 5-HT2A may be involved in the pathophysiology of schizophrenia, and 5-HT2A antagonists may contribute to therapeutic effects of antipsychotic drugs. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://dx.doi.org/10.1097/00001756-199812010-00024 and http://dx.doi.org/10.1097/00001756-199812010-00024,1998,Neuroreport: An International Journal for the Rapid Communication of Research in Neuroscience,9,17,3897-3902,NA,NA,NA
